Timestamp,CPU_Usage(%),Memory_Usage(%),Memory_Used(GB),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Temp(C),CPU_Temp(C),FPS,Frame_Count,Latency(ms)
2025-10-08 03:54:17,91.6,50.9,14.06,49.8,0.0,50.5,0.0,0.0,0,0.0
2025-10-08 03:54:22,98.8,51.2,14.15,34.9,0.0,50.5,0.0,0.0,0,0.0
2025-10-08 03:54:28,81.0,50.7,14.0,76.2,0.0,50.28,0.0,0.0,0,0.0
2025-10-08 03:55:23,88.5,49.6,13.66,9.2,0.0,49.81,0.0,0.0,0,0.0
2025-10-08 03:55:29,64.9,49.7,13.69,9.5,0.0,49.84,0.0,0.0,0,0.0
2025-10-08 03:55:35,65.8,49.7,13.68,34.8,0.0,49.75,0.0,0.0,0,0.0
2025-10-08 03:55:41,96.3,49.8,13.71,3.1,0.0,49.88,0.0,0.0,0,0.0
2025-10-08 03:55:48,94.0,51.3,14.15,43.9,0.0,50.12,0.0,0.0,0,0.0
2025-10-08 03:55:54,89.5,51.6,14.24,13.5,0.0,50.44,0.0,0.0,0,0.0
2025-10-08 03:56:00,92.6,51.7,14.29,37.3,0.0,50.22,0.0,0.0,0,0.0
2025-10-08 03:56:05,94.3,51.8,14.32,64.5,0.0,50.59,0.0,0.0,0,0.0
2025-10-08 03:56:10,95.2,51.8,14.32,20.0,0.0,50.38,0.0,0.0,0,0.0
2025-10-08 03:56:15,96.4,52.0,14.38,23.3,0.0,50.31,0.0,0.0,0,0.0
2025-10-08 03:56:21,95.6,52.0,14.36,80.4,0.0,50.34,0.0,0.0,0,0.0
2025-10-08 03:56:27,97.6,51.9,14.36,53.8,0.0,50.44,0.0,0.0,0,0.0
2025-10-08 03:56:33,96.6,52.0,14.38,58.0,0.0,50.81,0.0,0.0,0,0.0
2025-10-08 03:56:38,97.6,52.0,14.39,22.3,0.0,50.5,0.0,0.0,0,0.0
2025-10-08 03:56:45,96.2,52.3,14.46,33.4,0.0,50.59,0.0,0.0,0,0.0
2025-10-22 01:54:52,68.4,26.4,7.19,52.5,0.0,42.81,0.0,0.0,0,0.0
2025-11-12 17:11:24,32.5,18.8,5.01,0.0,0.0,42.81,0.0,0.0,0,0.0
2025-11-12 17:11:29,23.7,18.9,5.03,0.0,0.0,42.97,0.0,0.0,0,0.0
2025-11-12 17:11:34,20.0,18.9,5.03,0.0,0.0,43.0,0.0,0.0,0,0.0
2025-11-12 17:11:39,19.4,18.9,5.04,0.0,0.0,42.78,0.0,0.0,0,0.0
2025-11-12 17:11:45,17.3,18.9,5.04,0.0,0.0,42.75,0.0,0.0,0,0.0
2025-11-12 17:11:51,25.0,19.0,5.05,0.0,0.0,43.09,0.0,0.0,0,0.0
2025-11-12 17:11:57,26.0,18.9,5.04,0.0,0.0,43.06,0.0,0.0,0,0.0
2025-11-12 17:12:34,33.3,17.4,4.58,10.4,0.0,43.41,0.0,0.0,0,0.0
2025-11-12 17:12:39,29.1,17.5,4.6,50.4,0.0,43.0,0.0,0.0,0,0.0
2025-11-12 17:12:44,25.6,17.5,4.61,0.0,0.0,43.09,0.0,0.0,0,0.0
2025-11-12 17:12:49,21.8,17.5,4.61,51.0,0.0,43.0,0.0,0.0,0,0.0
2025-11-12 17:12:55,55.6,17.5,4.62,45.4,0.0,43.0,0.0,0.0,0,0.0
2025-11-12 17:13:00,17.9,17.5,4.63,52.9,0.0,42.88,0.0,0.0,0,0.0
2025-11-12 17:25:00,43.2,20.9,5.14,18.1,0.0,43.25,0.0,0.0,0,0.0
2025-11-12 17:25:05,41.2,20.9,5.14,9.8,0.0,43.72,0.0,0.0,0,0.0
2025-11-12 17:25:10,38.3,20.9,5.13,11.4,0.0,43.22,0.0,0.0,0,0.0
2025-11-12 17:25:15,38.2,20.9,5.15,19.3,0.0,43.16,0.0,0.0,0,0.0
2025-11-12 17:25:20,39.0,20.9,5.15,16.7,0.0,43.66,0.0,0.0,0,0.0
2025-11-12 17:25:25,50.4,20.9,5.15,28.8,0.0,43.44,0.0,0.0,0,0.0
2025-11-12 17:25:30,42.1,21.0,5.16,67.5,0.0,43.31,0.0,0.0,0,0.0
2025-11-12 17:25:36,42.9,21.0,5.17,6.6,0.0,43.53,0.0,0.0,0,0.0
2025-11-12 17:25:41,54.3,21.0,5.16,32.9,0.0,43.25,0.0,0.0,0,0.0
2025-11-12 17:25:46,40.5,21.0,5.17,29.9,0.0,43.53,0.0,0.0,0,0.0
2025-11-12 17:25:51,35.1,21.0,5.17,17.3,0.0,43.62,0.0,0.0,0,0.0
2025-11-12 17:25:56,41.0,21.0,5.18,12.0,0.0,43.41,0.0,0.0,0,0.0
2025-11-12 17:26:20,41.1,19.8,4.81,27.1,0.0,43.56,0.0,0.0,0,0.0
2025-11-12 17:26:25,37.5,19.9,4.83,14.4,0.0,43.5,0.0,0.0,0,0.0
2025-11-12 17:26:30,20.5,19.9,4.83,66.0,0.0,43.34,0.0,0.0,0,0.0
2025-11-12 17:26:35,23.5,19.9,4.83,16.5,0.0,43.66,0.0,0.0,0,0.0
2025-11-12 17:29:09,43.0,20.1,4.89,16.2,0.0,43.47,0.0,0.0,0,0.0
2025-11-12 17:29:14,21.5,20.1,4.9,17.7,0.0,43.38,0.0,0.0,0,0.0
2025-11-12 17:29:19,22.5,20.2,4.91,18.3,0.0,43.31,0.0,0.0,0,0.0
2025-11-12 17:52:27,38.6,18.5,4.56,25.5,0.0,42.41,0.0,0.0,0,0.0
2025-11-12 17:52:32,17.5,18.6,4.59,86.8,0.0,42.75,0.0,0.0,0,0.0
2025-11-12 17:52:37,22.1,18.6,4.6,59.2,0.0,42.56,0.0,0.0,0,0.0
2025-11-12 17:52:42,25.0,18.6,4.6,50.9,0.0,42.56,0.0,0.0,0,0.0
2025-11-12 17:52:47,33.8,18.6,4.59,0.0,0.0,43.0,0.0,0.0,0,0.0
2025-11-12 17:52:52,62.0,19.5,4.86,49.2,0.0,43.06,0.0,0.0,0,0.0
2025-11-12 17:52:57,28.4,19.8,4.94,58.3,0.0,42.84,0.0,0.0,0,0.0
2025-11-12 18:02:14,37.3,20.3,5.07,9.7,0.0,42.88,0.0,0.0,0,0.0
2025-11-12 18:02:19,33.3,20.3,5.08,0.0,0.0,42.84,0.0,0.0,0,0.0
2025-11-12 18:02:25,30.4,20.3,5.08,0.0,0.0,42.53,0.0,0.0,0,0.0
2025-11-12 18:02:31,43.0,19.3,4.79,55.3,0.0,42.75,0.0,0.0,0,0.0
2025-11-12 18:02:37,65.8,21.5,5.41,31.4,0.0,42.81,0.0,0.0,0,0.0
2025-11-12 18:02:43,58.5,22.1,5.6,14.9,0.0,43.28,0.0,0.0,0,0.0
2025-11-12 18:02:49,57.0,22.1,5.61,15.8,0.0,43.34,0.0,0.0,0,0.0
2025-11-12 18:02:54,57.1,22.1,5.6,30.4,0.0,43.19,0.0,0.0,0,0.0
2025-11-12 18:02:59,60.5,22.2,5.62,43.1,0.0,43.41,0.0,0.0,0,0.0
2025-11-12 18:03:04,56.4,22.1,5.61,67.7,0.0,43.41,0.0,0.0,0,0.0
2025-11-12 18:03:09,53.1,22.1,5.62,46.2,0.0,43.41,0.0,0.0,0,0.0
2025-11-12 18:03:14,62.2,22.1,5.61,40.3,0.0,43.88,0.0,0.0,0,0.0
2025-11-12 18:03:19,53.8,22.1,5.61,36.9,0.0,43.41,0.0,0.0,0,0.0
2025-11-12 18:03:25,55.1,22.2,5.62,55.1,0.0,43.66,0.0,0.0,0,0.0
2025-11-12 18:03:31,62.2,22.2,5.63,38.0,0.0,43.94,0.0,0.0,0,0.0
